Date,Time,Precipitation (mm),mm/hr ,mm/hr 
1/7/2012,5:45:00 AM,0,0,0.4
1/7/2012,6:00:00 AM,0,,0.4
1/7/2012,6:15:00 AM,0,,0.4
1/7/2012,6:30:00 AM,0,,0.4
1/7/2012,6:45:00 AM,0,0,0.4
1/7/2012,7:00:00 AM,0,,0.4
1/7/2012,7:15:00 AM,0,,0.4
1/7/2012,7:30:00 AM,0,,0.4
1/7/2012,7:45:00 AM,0,0,0.4
1/7/2012,8:00:00 AM,0,,0.4
1/7/2012,8:15:00 AM,0,,0.4
1/7/2012,8:30:00 AM,0,,0.4
1/7/2012,8:45:00 AM,0,0,0.4
1/7/2012,9:00:00 AM,0,,0.4
1/7/2012,9:15:00 AM,0,,0.4
1/7/2012,9:30:00 AM,0,,0.4
1/7/2012,9:45:00 AM,0,0,0.4
1/7/2012,10:00:00 AM,0,,0.4
1/7/2012,10:15:00 AM,0,,0.4
1/7/2012,10:30:00 AM,0,,0.4
1/7/2012,10:45:00 AM,0,0,0.4
1/7/2012,11:00:00 AM,0,,0.4
1/7/2012,11:15:00 AM,0,,0.4
1/7/2012,11:30:00 AM,0,,0.4
1/7/2012,11:45:00 AM,0,0,0.4
1/7/2012,12:00:00 PM,0,,0.4
1/7/2012,12:15:00 PM,0,,0.4
1/7/2012,12:30:00 PM,0,,0.4
1/7/2012,12:45:00 PM,0,0,0.4
1/7/2012,1:00:00 PM,0,,0.4
1/7/2012,1:15:00 PM,0,,0.4
1/7/2012,1:30:00 PM,0,,0.4
1/7/2012,1:45:00 PM,0,0,0.4
1/7/2012,2:00:00 PM,0,,0.4
1/7/2012,2:15:00 PM,0,,0.4
1/7/2012,2:30:00 PM,0,,0.4
1/7/2012,2:45:00 PM,0,0,0.4
1/7/2012,3:00:00 PM,0,,0.4
1/7/2012,3:15:00 PM,0,,0.4
1/7/2012,3:30:00 PM,0,,0.4
1/7/2012,3:45:00 PM,0,0,0.4
1/7/2012,4:00:00 PM,0,,0.4
1/7/2012,4:15:00 PM,0,,0.4
1/7/2012,4:30:00 PM,0,,0.4
1/7/2012,4:45:00 PM,0,0,0.4
1/7/2012,5:00:00 PM,0,,0.4
1/7/2012,5:15:00 PM,0,,0.4
1/7/2012,5:30:00 PM,0,,0.4
1/7/2012,5:45:00 PM,0,0,0.4
1/7/2012,6:00:00 PM,0,,0.4
1/7/2012,6:15:00 PM,0,,0.4
1/7/2012,6:30:00 PM,0,,0.4
1/7/2012,6:45:00 PM,0,0,0.4
1/7/2012,7:00:00 PM,0,,0.4
1/7/2012,7:15:00 PM,0,,0.6
1/7/2012,7:30:00 PM,0,,0.6
1/7/2012,7:45:00 PM,0,0,0.6
1/7/2012,8:00:00 PM,0,,0.6
1/7/2012,8:15:00 PM,0,,0.6
1/7/2012,8:30:00 PM,0,,0.6
1/7/2012,8:45:00 PM,0,0,0.6
1/7/2012,9:00:00 PM,0,,0.6
1/7/2012,9:15:00 PM,0,,0.6
1/7/2012,9:30:00 PM,0,,0.6
1/7/2012,9:45:00 PM,0,0,0.6
1/7/2012,10:00:00 PM,0,,0.6
1/7/2012,10:15:00 PM,0,,0.6
1/7/2012,10:30:00 PM,0,,0.6
1/7/2012,10:45:00 PM,0,0,0.6
1/7/2012,11:00:00 PM,0,,0.6
1/7/2012,11:15:00 PM,0,,0.6
1/7/2012,11:30:00 PM,0,,0.6
1/7/2012,11:45:00 PM,0,0,0.6
1/8/2012,12:00:00 AM,0,,0.6
1/8/2012,12:15:00 AM,0,,0.6
1/8/2012,12:30:00 AM,0,,0.6
1/8/2012,12:45:00 AM,0,0,0.6
1/8/2012,1:00:00 AM,0,,0.6
1/8/2012,1:15:00 AM,0,,0.6
1/8/2012,1:30:00 AM,0,,0.6
1/8/2012,1:45:00 AM,0,0,0.6
1/8/2012,2:00:00 AM,0,,0.6
1/8/2012,2:15:00 AM,0,,0.6
1/8/2012,2:30:00 AM,0,,0.6
1/8/2012,2:45:00 AM,0,0,0.6
1/8/2012,3:00:00 AM,0,,0.6
1/8/2012,3:15:00 AM,0,,0.6
1/8/2012,3:30:00 AM,0,,0.6
1/8/2012,3:45:00 AM,0,0,0.6
1/8/2012,4:00:00 AM,0,,0.6
1/8/2012,4:15:00 AM,0,,0.6
1/8/2012,4:30:00 AM,0,,0.6
1/8/2012,4:45:00 AM,0,0,0.6
1/8/2012,5:00:00 AM,0,,0.6
1/8/2012,5:15:00 AM,0,,0.6
1/8/2012,5:30:00 AM,0,,0.6
1/8/2012,5:45:00 AM,0,0,0.6
1/8/2012,6:00:00 AM,0,,0.6
1/8/2012,6:15:00 AM,0,,0.6
1/8/2012,6:30:00 AM,0,,0.6
1/8/2012,6:45:00 AM,0,0,0.6
1/8/2012,7:00:00 AM,0,,0.6
1/8/2012,7:15:00 AM,0,,0.6
1/8/2012,7:30:00 AM,0,,0.6
1/8/2012,7:45:00 AM,0,0,0.6
1/8/2012,8:00:00 AM,0,,0.6
1/8/2012,8:15:00 AM,0,,0.6
1/8/2012,8:30:00 AM,0,,0.6
1/8/2012,8:45:00 AM,0,0,0.6
1/8/2012,9:00:00 AM,0,,0.6
1/8/2012,9:15:00 AM,0,,0.6
1/8/2012,9:30:00 AM,0,,0.6
1/8/2012,9:45:00 AM,0,0,0.6
1/8/2012,10:00:00 AM,0,,0.6
1/8/2012,10:15:00 AM,0,,0.6
1/8/2012,10:30:00 AM,0,,0.6
1/8/2012,10:45:00 AM,0,0,0.6
1/8/2012,11:00:00 AM,0,,0.6
1/8/2012,11:15:00 AM,0,,0.6
1/8/2012,11:30:00 AM,0,,0.6
1/8/2012,11:45:00 AM,0,0,0.6
1/8/2012,12:00:00 PM,0,,0.6
1/8/2012,12:15:00 PM,0,,0.6
1/8/2012,12:30:00 PM,0,,0.6
1/8/2012,12:45:00 PM,0,0,0.6
1/8/2012,1:00:00 PM,0,,0.6
1/8/2012,1:15:00 PM,0,,0.6
1/8/2012,1:30:00 PM,0,,0.6
1/8/2012,1:45:00 PM,0,0,0.6
1/8/2012,2:00:00 PM,0,,0.6
1/8/2012,2:15:00 PM,0,,0.6
1/8/2012,2:30:00 PM,0,,0.6
1/8/2012,2:45:00 PM,0,0,0.6
1/8/2012,3:00:00 PM,0,,0.6
1/8/2012,3:15:00 PM,0,,0.6
1/8/2012,3:30:00 PM,0,,0.6
1/8/2012,3:45:00 PM,0,0,0.6
1/8/2012,4:00:00 PM,0,,0.6
1/8/2012,4:15:00 PM,0,,0.6
1/8/2012,4:30:00 PM,0,,0.6
1/8/2012,4:45:00 PM,0,0,0.6
1/8/2012,5:00:00 PM,0,,0.6
1/8/2012,5:15:00 PM,0,,0.6
1/8/2012,5:30:00 PM,0,,0.6
1/8/2012,5:45:00 PM,0,0,0.6
1/8/2012,6:00:00 PM,0,,0.6
1/8/2012,6:15:00 PM,0,,0.6
1/8/2012,6:30:00 PM,0,,0.6
1/8/2012,6:45:00 PM,0,0,0.6
1/8/2012,7:00:00 PM,0,,0.6
1/8/2012,7:15:00 PM,0,,0.6
1/8/2012,7:30:00 PM,0,,0.6
1/8/2012,7:45:00 PM,0,0,0.6
1/8/2012,8:00:00 PM,0,,0.6
1/8/2012,8:15:00 PM,0,,0.6
1/8/2012,8:30:00 PM,0,,0.8
1/8/2012,8:45:00 PM,0,0,0.8
1/8/2012,9:00:00 PM,0,,0.8
1/8/2012,9:15:00 PM,0,,0.8
1/8/2012,9:30:00 PM,0,,0.8
1/8/2012,9:45:00 PM,0,0,0.8
1/8/2012,10:00:00 PM,0,,0.8
1/8/2012,10:15:00 PM,0,,0.8
1/8/2012,10:30:00 PM,0,,0.8
1/8/2012,10:45:00 PM,0,0,0.8
1/8/2012,11:00:00 PM,0,,0.8
1/8/2012,11:15:00 PM,0,,0.8
1/8/2012,11:30:00 PM,0,,0.8
1/8/2012,11:45:00 PM,0,0,0.8
1/9/2012,12:00:00 AM,0,,0.8
1/9/2012,12:15:00 AM,0,,0.8
1/9/2012,12:30:00 AM,0,,0.8
1/9/2012,12:45:00 AM,0,0,0.8
1/9/2012,1:00:00 AM,0,,0.8
1/9/2012,1:15:00 AM,0,,0.8
1/9/2012,1:30:00 AM,0,,0.8
1/9/2012,1:45:00 AM,0,0,0.8
1/9/2012,2:00:00 AM,0,,0.8
1/9/2012,2:15:00 AM,0,,0.8
1/9/2012,2:30:00 AM,0,,0.8
1/9/2012,2:45:00 AM,0,0,0.8
1/9/2012,3:00:00 AM,0,,0.8
1/9/2012,3:15:00 AM,0,,0.8
1/9/2012,3:30:00 AM,0,,0.8
1/9/2012,3:45:00 AM,0,0,0.8
1/9/2012,4:00:00 AM,0,,0.8
1/9/2012,4:15:00 AM,0,,0.8
1/9/2012,4:30:00 AM,0,,0.8
1/9/2012,4:45:00 AM,0,0,0.8
1/9/2012,5:00:00 AM,0,,0.8
1/9/2012,5:15:00 AM,0,,0.8
1/9/2012,5:30:00 AM,0,,0.8
1/9/2012,5:45:00 AM,0,0,0.8
1/9/2012,6:00:00 AM,0,,0.8
1/9/2012,6:15:00 AM,0,,0.8
1/9/2012,6:30:00 AM,0,,0.8
1/9/2012,6:45:00 AM,0,0,0.8
1/9/2012,7:00:00 AM,0,,0.8
1/9/2012,7:15:00 AM,0,,0.8
1/9/2012,7:30:00 AM,0,,0.8
1/9/2012,7:45:00 AM,0,0,0.8
1/9/2012,8:00:00 AM,0,,0.8
1/9/2012,8:15:00 AM,0,,0.8
1/9/2012,8:30:00 AM,0,,0.8
1/9/2012,8:45:00 AM,0,0,0.8
1/9/2012,9:00:00 AM,0,,0.8
1/9/2012,9:15:00 AM,0,,0.8
1/9/2012,9:30:00 AM,0,,0.8
1/9/2012,9:45:00 AM,0,0,0.8
1/9/2012,10:00:00 AM,0,,0.8
1/9/2012,10:15:00 AM,0,,0.8
1/9/2012,10:30:00 AM,0,,0.8
1/9/2012,10:45:00 AM,0,0,0.8
1/9/2012,11:00:00 AM,0,,0.8
1/9/2012,11:15:00 AM,0,,0.8
1/9/2012,11:30:00 AM,0,,0.8
1/9/2012,11:45:00 AM,0,0,0.8
1/9/2012,12:00:00 PM,0,,0.8
1/9/2012,12:15:00 PM,0,,0.8
1/9/2012,12:30:00 PM,0,,0.8
1/9/2012,12:45:00 PM,0,0,0.8
1/9/2012,1:00:00 PM,0,,0.8
1/9/2012,1:15:00 PM,0,,0.8
1/9/2012,1:30:00 PM,0,,0.8
1/9/2012,1:45:00 PM,0,0,0.8
1/9/2012,2:00:00 PM,0,,0.8
1/9/2012,2:15:00 PM,0,,0.8
1/9/2012,2:30:00 PM,0,,0.8
1/9/2012,2:45:00 PM,0,0,0.8
1/9/2012,3:00:00 PM,0,,0.8
1/9/2012,3:15:00 PM,0,,0.8
1/9/2012,3:30:00 PM,0,,0.8
1/9/2012,3:45:00 PM,0,0,0.8
1/9/2012,4:00:00 PM,0,,0.8
1/9/2012,4:15:00 PM,0,,0.8
1/9/2012,4:30:00 PM,0,,0.8
1/9/2012,4:45:00 PM,0,0,0.8
1/9/2012,5:00:00 PM,0,,0.8
1/9/2012,5:15:00 PM,0,,0.8
1/9/2012,5:30:00 PM,0,,0.8
1/9/2012,5:45:00 PM,0,0,0.8
1/9/2012,6:00:00 PM,0,,0.8
1/9/2012,6:15:00 PM,0,,0.8
1/9/2012,6:30:00 PM,0,,0.8
1/9/2012,6:45:00 PM,0,0,0.8
1/9/2012,7:00:00 PM,0,,1
1/9/2012,7:15:00 PM,0,,1
1/9/2012,7:30:00 PM,0,,1
1/9/2012,7:45:00 PM,0,0,1
1/9/2012,8:00:00 PM,0,,1
1/9/2012,8:15:00 PM,0,,1
1/9/2012,8:30:00 PM,0,,1
1/9/2012,8:45:00 PM,0,0,1
1/9/2012,9:00:00 PM,0,,1
1/9/2012,9:15:00 PM,0,,1
1/9/2012,9:30:00 PM,0,,1
1/9/2012,9:45:00 PM,0,0,1
1/9/2012,10:00:00 PM,0,,1
1/9/2012,10:15:00 PM,0,,1
1/9/2012,10:30:00 PM,0,,1
1/9/2012,10:45:00 PM,0,0,1
1/9/2012,11:00:00 PM,0,,1
1/9/2012,11:15:00 PM,0,,1
1/9/2012,11:30:00 PM,0,,1
1/9/2012,11:45:00 PM,0,0,1
1/10/2012,12:00:00 AM,0,,1
1/10/2012,12:15:00 AM,0,,1
1/10/2012,12:30:00 AM,0,,1
1/10/2012,12:45:00 AM,0,0,1
1/10/2012,1:00:00 AM,0,,1
1/10/2012,1:15:00 AM,0,,1
1/10/2012,1:30:00 AM,0,,1
1/10/2012,1:45:00 AM,0,0,1
1/10/2012,2:00:00 AM,0,,1
1/10/2012,2:15:00 AM,0,,1
1/10/2012,2:30:00 AM,0,,1
1/10/2012,2:45:00 AM,0,0,1
1/10/2012,3:00:00 AM,0,,1
1/10/2012,3:15:00 AM,0,,1
1/10/2012,3:30:00 AM,0,,1
1/10/2012,3:45:00 AM,0,0,1
1/10/2012,4:00:00 AM,0,,1
1/10/2012,4:15:00 AM,0,,1
1/10/2012,4:30:00 AM,0,,1
1/10/2012,4:45:00 AM,0,0,1
1/10/2012,5:00:00 AM,0,,1
1/10/2012,5:15:00 AM,0,,1
1/10/2012,5:30:00 AM,0,,1
1/10/2012,5:45:00 AM,0,0,1
1/10/2012,6:00:00 AM,0,,1
1/10/2012,6:15:00 AM,0,,1
1/10/2012,6:30:00 AM,0,,1
1/10/2012,6:45:00 AM,0,0,1
1/10/2012,7:00:00 AM,0,,1
1/10/2012,7:15:00 AM,0,,1
1/10/2012,7:30:00 AM,0,,1
1/10/2012,7:45:00 AM,0,0,1
1/10/2012,8:00:00 AM,0,,1
1/10/2012,8:15:00 AM,0,,1
1/10/2012,8:30:00 AM,0,,1
1/10/2012,8:45:00 AM,0,0,1
1/10/2012,9:00:00 AM,0,,1
1/10/2012,9:15:00 AM,0,,1
1/10/2012,9:30:00 AM,0,,1
1/10/2012,9:45:00 AM,0,0,1
1/10/2012,10:00:00 AM,0,,1.2
1/10/2012,10:15:00 AM,0,,1.2
1/10/2012,10:30:00 AM,0,,1.2
1/10/2012,10:45:00 AM,0,0,1.2
1/10/2012,11:00:00 AM,0,,1.2
1/10/2012,11:15:00 AM,0,,1.2
1/10/2012,11:30:00 AM,0,,1.2
1/10/2012,11:45:00 AM,0,0,1.2
1/10/2012,12:00:00 PM,0,,1.2
1/10/2012,12:15:00 PM,0,,1.2
1/10/2012,12:30:00 PM,0,,1.2
1/10/2012,12:45:00 PM,0,0,1.2
1/10/2012,1:00:00 PM,0,,1.2
1/10/2012,1:15:00 PM,0,,1.2
1/10/2012,1:30:00 PM,0,,1.2
1/10/2012,1:45:00 PM,0,0,1.2
1/10/2012,2:00:00 PM,0,,1.2
1/10/2012,2:15:00 PM,0,,1.2
1/10/2012,2:30:00 PM,0,,1.2
1/10/2012,2:45:00 PM,0,0,1.2
1/10/2012,3:00:00 PM,0,,1.2
1/10/2012,3:15:00 PM,0,,1.2
1/10/2012,3:30:00 PM,0,,1.2
1/10/2012,3:45:00 PM,0,0,1.2
1/10/2012,4:00:00 PM,0,,1.2
1/10/2012,4:15:00 PM,0,,1.2
1/10/2012,4:30:00 PM,0,,1.2
1/10/2012,4:45:00 PM,0,0,1.2
1/10/2012,5:00:00 PM,0,,1.2
1/10/2012,5:15:00 PM,0,,1.2
1/10/2012,5:30:00 PM,0,,1.2
1/10/2012,5:45:00 PM,0,0,1.2
1/10/2012,6:00:00 PM,0,,1.2
1/10/2012,6:15:00 PM,0,,1.2
1/10/2012,6:30:00 PM,0,,1.2
1/10/2012,6:45:00 PM,0,0,1.2
1/10/2012,7:00:00 PM,0,,1.2
1/10/2012,7:15:00 PM,0,,1.2
1/10/2012,7:30:00 PM,0,,1.2
1/10/2012,7:45:00 PM,0,0,1.2
1/10/2012,8:00:00 PM,0,,1.2
1/10/2012,8:15:00 PM,0,,1.2
1/10/2012,8:30:00 PM,0,,1.2
1/10/2012,8:45:00 PM,0,0,1.2
1/10/2012,9:00:00 PM,0,,1.2
1/10/2012,9:15:00 PM,0,,1.2
1/10/2012,9:30:00 PM,0,,1.2
1/10/2012,9:45:00 PM,0,0,1.2
1/10/2012,10:00:00 PM,0,,1.2
1/10/2012,10:15:00 PM,0,,1.2
1/10/2012,10:30:00 PM,0,,1.2
1/10/2012,10:45:00 PM,0,0,1.2
1/10/2012,11:00:00 PM,0,,1.2
1/10/2012,11:15:00 PM,0,,1.2
1/10/2012,11:30:00 PM,0,,1.2
1/10/2012,11:45:00 PM,0,0,1.2
1/11/2012,12:00:00 AM,0,,1.2
1/11/2012,12:15:00 AM,0,,1.2
1/11/2012,12:30:00 AM,0,,1.2
1/11/2012,12:45:00 AM,0,0,1.2
1/11/2012,1:00:00 AM,0,,1.2
1/11/2012,1:15:00 AM,0,,1.2
1/11/2012,1:30:00 AM,0,,1.2
1/11/2012,1:45:00 AM,0,0,1.2
1/11/2012,2:00:00 AM,0,,1.4
1/11/2012,2:15:00 AM,0,,1.4
1/11/2012,2:30:00 AM,0,,1.4
1/11/2012,2:45:00 AM,0,0,1.4
1/11/2012,3:00:00 AM,0,,1.4
1/11/2012,3:15:00 AM,0,,1.4
1/11/2012,3:30:00 AM,0,,1.4
1/11/2012,3:45:00 AM,0,0,1.4
1/11/2012,4:00:00 AM,0,,1.4
1/11/2012,4:15:00 AM,0,,1.4
1/11/2012,4:30:00 AM,0,,1.4
1/11/2012,4:45:00 AM,0,0,1.4
1/11/2012,5:00:00 AM,0,,1.4
1/11/2012,5:15:00 AM,0,,1.4
1/11/2012,5:30:00 AM,0,,1.4
1/11/2012,5:45:00 AM,0,0,1.4
1/11/2012,6:00:00 AM,0,,1.4
1/11/2012,6:15:00 AM,0,,1.4
1/11/2012,6:30:00 AM,0,,1.4
1/11/2012,6:45:00 AM,0,0,1.4
1/11/2012,7:00:00 AM,0,,1.4
1/11/2012,7:15:00 AM,0,,1.4
1/11/2012,7:30:00 AM,0,,1.4
1/11/2012,7:45:00 AM,0,0,1.4
1/11/2012,8:00:00 AM,0,,1.4
1/11/2012,8:15:00 AM,0,,1.4
1/11/2012,8:30:00 AM,0,,1.4
1/11/2012,8:45:00 AM,0,0,1.4
1/11/2012,9:00:00 AM,0,,1.4
1/11/2012,9:15:00 AM,0,,1.4
1/11/2012,9:30:00 AM,0,,1.4
1/11/2012,9:45:00 AM,0,0,1.4
1/11/2012,10:00:00 AM,0,,1.4
1/11/2012,10:15:00 AM,0,,1.4
1/11/2012,10:30:00 AM,0,,1.4
1/11/2012,10:45:00 AM,0,0,1.4
1/11/2012,11:00:00 AM,0,,1.4
1/11/2012,11:15:00 AM,0,,1.4
1/11/2012,11:30:00 AM,0,,1.4
1/11/2012,11:45:00 AM,0,0,1.4
1/11/2012,12:00:00 PM,0,,1.4
1/11/2012,12:15:00 PM,0,,1.4
1/11/2012,12:30:00 PM,0,,1.4
1/11/2012,12:45:00 PM,0,0,1.4
1/11/2012,1:00:00 PM,0,,1.4
1/11/2012,1:15:00 PM,0,,1.4
1/11/2012,1:30:00 PM,0,,1.6
1/11/2012,1:45:00 PM,0,0,1.6
1/11/2012,2:00:00 PM,0,,1.6
1/11/2012,2:15:00 PM,0,,1.6
1/11/2012,2:30:00 PM,0,,1.6
1/11/2012,2:45:00 PM,0,0,1.6
1/11/2012,3:00:00 PM,0,,1.6
1/11/2012,3:15:00 PM,0,,1.6
1/11/2012,3:30:00 PM,0,,1.6
1/11/2012,3:45:00 PM,0,0,1.6
1/11/2012,4:00:00 PM,0,,1.6
1/11/2012,4:15:00 PM,0,,1.6
1/11/2012,4:30:00 PM,0,,1.6
1/11/2012,4:45:00 PM,0,0,1.6
1/11/2012,5:00:00 PM,0,,1.6
1/11/2012,5:15:00 PM,0,,1.6
1/11/2012,5:30:00 PM,0,,1.6
1/11/2012,5:45:00 PM,0,0,1.6
1/11/2012,6:00:00 PM,0,,1.6
1/11/2012,6:15:00 PM,0,,1.6
1/11/2012,6:30:00 PM,0,,1.6
1/11/2012,6:45:00 PM,0,0,1.6
1/11/2012,7:00:00 PM,0,,1.6
1/11/2012,7:15:00 PM,0,,1.6
1/11/2012,7:30:00 PM,0,,1.6
1/11/2012,7:45:00 PM,0,0,1.6
1/11/2012,8:00:00 PM,0,,1.6
1/11/2012,8:15:00 PM,0,,1.6
1/11/2012,8:30:00 PM,0,,1.6
1/11/2012,8:45:00 PM,0,0,1.6
1/11/2012,9:00:00 PM,0,,1.6
1/11/2012,9:15:00 PM,0,,1.6
1/11/2012,9:30:00 PM,0,,1.6
1/11/2012,9:45:00 PM,0,0,1.6
1/11/2012,10:00:00 PM,0,,1.6
1/11/2012,10:15:00 PM,0,,1.6
1/11/2012,10:30:00 PM,0,,1.6
1/11/2012,10:45:00 PM,0,0,1.6
1/11/2012,11:00:00 PM,0,,1.6
1/11/2012,11:15:00 PM,0,,1.8
1/11/2012,11:30:00 PM,0,,1.8
1/11/2012,11:45:00 PM,0,0,1.8
1/12/2012,12:00:00 AM,0,,1.8
1/12/2012,12:15:00 AM,0,,1.8
1/12/2012,12:30:00 AM,0,,1.8
1/12/2012,12:45:00 AM,0,0,1.8
1/12/2012,1:00:00 AM,0,,1.8
1/12/2012,1:15:00 AM,0,,1.8
1/12/2012,1:30:00 AM,0,,1.8
1/12/2012,1:45:00 AM,0,0,1.8
1/12/2012,2:00:00 AM,0,,1.8
1/12/2012,2:15:00 AM,0,,1.8
1/12/2012,2:30:00 AM,0,,1.8
1/12/2012,2:45:00 AM,0,0,1.8
1/12/2012,3:00:00 AM,0,,1.8
1/12/2012,3:15:00 AM,0,,1.8
1/12/2012,3:30:00 AM,0,,1.8
1/12/2012,3:45:00 AM,0,0,1.8
1/12/2012,4:00:00 AM,0,,1.8
1/12/2012,4:15:00 AM,0,,1.8
1/12/2012,4:30:00 AM,0,,1.8
1/12/2012,4:45:00 AM,0,0,1.8
1/12/2012,5:00:00 AM,0,,1.8
1/12/2012,5:15:00 AM,0,,1.8
1/12/2012,5:30:00 AM,0,,1.8
1/12/2012,5:45:00 AM,0,0,1.8
1/12/2012,6:00:00 AM,0,,1.8
1/12/2012,6:15:00 AM,0,,1.8
1/12/2012,6:30:00 AM,0,,1.8
1/12/2012,6:45:00 AM,0,0,1.8
1/12/2012,7:00:00 AM,0,,2
1/12/2012,7:15:00 AM,0,,2
1/12/2012,7:30:00 AM,0,,2
1/12/2012,7:45:00 AM,0,0,2
1/12/2012,8:00:00 AM,0,,2
1/12/2012,8:15:00 AM,0,,2
1/12/2012,8:30:00 AM,0,,2
1/12/2012,8:45:00 AM,0,0,2
1/12/2012,9:00:00 AM,0,,2
1/12/2012,9:15:00 AM,0,,2
1/12/2012,9:30:00 AM,0,,2
1/12/2012,9:45:00 AM,0,0,2
1/12/2012,10:00:00 AM,0,,2
1/12/2012,10:15:00 AM,0,,2
1/12/2012,10:30:00 AM,0,,2
1/12/2012,10:45:00 AM,0,0,2
1/12/2012,11:00:00 AM,0,,2
1/12/2012,11:15:00 AM,0,,2
1/12/2012,11:30:00 AM,0,,2
1/12/2012,11:45:00 AM,0,0,2
1/12/2012,12:00:00 PM,0,,2
1/12/2012,12:15:00 PM,0,,2
1/12/2012,12:30:00 PM,0,,2
1/12/2012,12:45:00 PM,0,0,2.2
1/12/2012,1:00:00 PM,0,,2.2
1/12/2012,1:15:00 PM,0,,2.2
1/12/2012,1:30:00 PM,0,,2.2
1/12/2012,1:45:00 PM,0,0,2.2
1/12/2012,2:00:00 PM,0,,2.2
1/12/2012,2:15:00 PM,0,,2.2
1/12/2012,2:30:00 PM,0,,2.2
1/12/2012,2:45:00 PM,0,0,2.2
1/12/2012,3:00:00 PM,0,,2.2
1/12/2012,3:15:00 PM,0,,2.2
1/12/2012,3:30:00 PM,0,,2.2
1/12/2012,3:45:00 PM,0,0,2.2
1/12/2012,4:00:00 PM,0,,2.2
1/12/2012,4:15:00 PM,0,,2.2
1/12/2012,4:30:00 PM,0,,2.2
1/12/2012,4:45:00 PM,0,0,2.2
1/12/2012,5:00:00 PM,0,,2.2
1/12/2012,5:15:00 PM,0,,2.2
1/12/2012,5:30:00 PM,0,,2.2
1/12/2012,5:45:00 PM,0,0,2.2
1/12/2012,6:00:00 PM,0,,2.2
1/12/2012,6:15:00 PM,0,,2.2
1/12/2012,6:30:00 PM,0,,2.2
1/12/2012,6:45:00 PM,0,0,2.4
1/12/2012,7:00:00 PM,0,,2.4
1/12/2012,7:15:00 PM,0,,2.4
1/12/2012,7:30:00 PM,0,,2.4
1/12/2012,7:45:00 PM,0,0,2.4
1/12/2012,8:00:00 PM,0,,2.4
1/12/2012,8:15:00 PM,0,,2.4
1/12/2012,8:30:00 PM,0,,2.4
1/12/2012,8:45:00 PM,0,0,2.4
1/12/2012,9:00:00 PM,0,,2.4
1/12/2012,9:15:00 PM,0,,2.4
1/12/2012,9:30:00 PM,0,,2.4
1/12/2012,9:45:00 PM,0,0,2.4
1/12/2012,10:00:00 PM,0,,2.4
1/12/2012,10:15:00 PM,0,,2.4
1/12/2012,10:30:00 PM,0,,2.4
1/12/2012,10:45:00 PM,0,0,2.4
1/12/2012,11:00:00 PM,0,,2.4
1/12/2012,11:15:00 PM,0,,2.4
1/12/2012,11:30:00 PM,0,,2.4
1/12/2012,11:45:00 PM,0,0,2.4
1/13/2012,12:00:00 AM,0,,2.4
1/13/2012,12:15:00 AM,0,,2.6
1/13/2012,12:30:00 AM,0,,2.6
1/13/2012,12:45:00 AM,0,0,2.6
1/13/2012,1:00:00 AM,0,,2.6
1/13/2012,1:15:00 AM,0,,2.6
1/13/2012,1:30:00 AM,0,,2.6
1/13/2012,1:45:00 AM,0,0,2.6
1/13/2012,2:00:00 AM,0,,2.6
1/13/2012,2:15:00 AM,0,,2.6
1/13/2012,2:30:00 AM,0,,2.6
1/13/2012,2:45:00 AM,0,0,2.6
1/13/2012,3:00:00 AM,0,,2.6
1/13/2012,3:15:00 AM,0,,2.6
1/13/2012,3:30:00 AM,0,,2.6
1/13/2012,3:45:00 AM,0,0,2.6
1/13/2012,4:00:00 AM,0,,2.6
1/13/2012,4:15:00 AM,0,,2.6
1/13/2012,4:30:00 AM,0,,2.6
1/13/2012,4:45:00 AM,0,0,2.6
1/13/2012,5:00:00 AM,0,,2.6
1/13/2012,5:15:00 AM,0,,2.6
1/13/2012,5:30:00 AM,0,,2.6
1/13/2012,5:45:00 AM,0,0,2.6
1/13/2012,6:00:00 AM,0,,2.8
1/13/2012,6:15:00 AM,0,,2.8
1/13/2012,6:30:00 AM,0,,2.8
1/13/2012,6:45:00 AM,0,0,2.8
1/13/2012,7:00:00 AM,0,,2.8
1/13/2012,7:15:00 AM,0,,2.8
1/13/2012,7:30:00 AM,0,,2.8
1/13/2012,7:45:00 AM,0,0,2.8
1/13/2012,8:00:00 AM,0,,2.8
1/13/2012,8:15:00 AM,0,,2.8
1/13/2012,8:30:00 AM,0,,2.8
1/13/2012,8:45:00 AM,0,0,3
1/13/2012,9:00:00 AM,0,,3
1/13/2012,9:15:00 AM,0,,3
1/13/2012,9:30:00 AM,0,,3
1/13/2012,9:45:00 AM,0,0,3
1/13/2012,10:00:00 AM,0,,3
1/13/2012,10:15:00 AM,0,,3
1/13/2012,10:30:00 AM,0,,3
1/13/2012,10:45:00 AM,0,0,3
1/13/2012,11:00:00 AM,0,,3
1/13/2012,11:15:00 AM,0,,3
1/13/2012,11:30:00 AM,0,,3
1/13/2012,11:45:00 AM,0,0,3
1/13/2012,12:00:00 PM,0,,3
1/13/2012,12:15:00 PM,0,,3
1/13/2012,12:30:00 PM,0,,3
1/13/2012,12:45:00 PM,0,0,3
1/13/2012,1:00:00 PM,0,,3.2
1/13/2012,1:15:00 PM,0,,3.2
1/13/2012,1:30:00 PM,0,,3.2
1/13/2012,1:45:00 PM,0,0,3.2
